term,label,n_models,n_positive_sig_05,n_negative_sig_05,median_coef,market_fe_all_ur_coef,market_fe_all_ur_p,unit_fe_all_ur_coef,unit_fe_all_ur_p
Coverage_z:platform_any,Coverage:Any platform,16,0,2,-0.03967320703969758,-0.024465519033419186,0.11210577411580806,0.0013700851057269583,0.8621184228409053
Coverage_z:large_aggregator_only,Coverage:FreeNow only,16,0,2,-0.04099876280885642,-0.01902132818889435,0.15419511420631926,0.000615483185197988,0.9406681878635459
Coverage_z:local_maas_only,Coverage:Local MaaS only,16,2,2,-0.020420122654718396,-0.01541396113668381,0.5255028063418112,0.04526620629457528,0.0832672756517374
Coverage_z:multi_platform_membership,Coverage:Multi-platform,16,2,3,-0.006353757113118965,-0.004528155724907872,0.8395531077436439,0.05157595262031879,0.005956611178236949
Coverage_z:weak_exposure_only,Coverage:Weak exposure only,16,2,12,-0.0688902805469243,-0.20829076110471517,2.8743917570568415e-11,-0.05539886220890967,2.0043411539760354e-14
Exclusive_Coverage_z:platform_any,Exclusive_Coverage:Any platform,16,1,3,-0.033309921963561,-0.04000214086732083,0.07351778519364892,-0.018380291624606367,0.21586723641135686
Exclusive_Coverage_z:large_aggregator_only,Exclusive_Coverage:FreeNow only,16,0,6,-0.03820007354198577,-0.048290682492945415,0.006542078352046069,-0.017825961035824008,0.22916167911624186
Exclusive_Coverage_z:local_maas_only,Exclusive_Coverage:Local MaaS only,16,4,3,0.047663946285889,0.0366766019518558,0.12630175778957442,-0.07312427345572282,1.684536073082552e-09
Exclusive_Coverage_z:multi_platform_membership,Exclusive_Coverage:Multi-platform,16,3,4,0.0247617232905678,0.023290651534591075,0.2493360756586699,-0.06635461196480487,2.939938947077598e-07
Exclusive_Coverage_z:weak_exposure_only,Exclusive_Coverage:Weak exposure only,16,2,11,-0.03260380300425324,0.001416412896377475,0.9692735569736675,-0.03204816510201344,0.00013339275354355056
price_per_minute_z:platform_any,Price/min:Any platform,16,4,0,0.03275384795160956,-0.004923321159175041,0.81826879612227,0.02353752193749276,0.37099796616963576
price_per_minute_z:large_aggregator_only,Price/min:FreeNow only,16,10,0,0.14744536551817689,0.14439097203849346,0.01937170013753618,0.041975103680942094,0.282319478495237
price_per_minute_z:local_maas_only,Price/min:Local MaaS only,16,7,3,0.037075274495037835,0.04074813652669043,0.04857710197061867,-0.15047470126139706,0.039104963490913226
price_per_minute_z:multi_platform_membership,Price/min:Multi-platform,16,2,2,-0.052859853721645894,-0.049017429103248404,0.49733453496674107,-0.15082712148392263,0.31222269367496436
price_per_minute_z:weak_exposure_only,Price/min:Weak exposure only,16,12,3,0.05220719840533992,0.3358668803616669,2.4609732408749398e-14,0.12281281834661253,7.506768763299566e-175
promo_active_clean:platform_any,Promotion:Any platform,16,4,1,0.02327109231167193,0.021594067626888955,0.12517423879905232,0.004597318863032507,0.4829134816884363
promo_active_clean:large_aggregator_only,Promotion:FreeNow only,16,8,4,0.006306593779426375,0.1304188318536201,3.840678779668585e-08,0.0001762617893646505,0.9866217427024325
promo_active_clean:local_maas_only,Promotion:Local MaaS only,16,4,3,0.01010358610392291,-0.054641745240522795,0.13175131894061393,0.08589192493547379,0.10466364051627573
promo_active_clean:multi_platform_membership,Promotion:Multi-platform,16,4,5,-0.008525325733578165,-0.04134033139791023,0.24899046614200993,-0.008754269193935894,0.6388388988624649
promo_active_clean:weak_exposure_only,Promotion:Weak exposure only,16,6,6,0.006306593779420583,0.1304188318536201,3.840678779668801e-08,0.0001762617893624474,0.9866217427025998
relative_fleet_size_z:platform_any,Relative fleet:Any platform,16,1,0,0.025551250693292497,-0.0029357722892930558,0.8437209402133238,0.018070846430186752,0.05080848450722235
relative_fleet_size_z:large_aggregator_only,Relative fleet:FreeNow only,16,0,1,0.005809709369060091,-0.029303327629259905,0.05896128151867917,0.015509539876311887,0.09912384357925096
relative_fleet_size_z:local_maas_only,Relative fleet:Local MaaS only,16,3,0,0.021164927218472754,-0.019446705979641758,0.475616155866766,0.028818384062449492,0.06436255208874604
relative_fleet_size_z:multi_platform_membership,Relative fleet:Multi-platform,16,1,0,0.01692147904520729,0.010216801961203536,0.6279672445009781,0.02037258325534235,0.09021787801222732
relative_fleet_size_z:weak_exposure_only,Relative fleet:Weak exposure only,16,5,4,0.025351897911122773,0.030963983069210416,0.004825939357912411,0.00965003886957079,0.37467936477693664
unlock_fee_z:platform_any,Unlock fee:Any platform,16,0,9,-0.07507489059793353,-0.07150842409773345,1.7988732372264147e-05,-0.023557728957572223,0.34860568062015207
unlock_fee_z:large_aggregator_only,Unlock fee:FreeNow only,16,0,4,-0.10655380048893748,-0.04292012614302985,0.24648413439948302,-0.029075635314162077,0.2528820642038122
unlock_fee_z:local_maas_only,Unlock fee:Local MaaS only,16,1,9,-0.236519433353507,-0.10748163806411098,8.703363727682606e-07,0.10094773177106993,0.20666509971461378
unlock_fee_z:multi_platform_membership,Unlock fee:Multi-platform,16,0,4,-0.07282031737846054,-0.06141904604626612,0.17580276629706748,-0.0071486422663240064,0.9087935329113703
unlock_fee_z:weak_exposure_only,Unlock fee:Weak exposure only,16,2,10,-0.04601066029599707,-0.049515282684398546,0.06795632361233914,-0.03172169823822868,1.2868214555270153e-05
