competition_measure,estimator,fe_strategy,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_coef,all_p,no_weak_coef,no_weak_p
active_city_operators_z,dml_hgb,ml_residualized,2,0,0,0.013723421080370715,0.02241991314664676,0.20111553168870555,0.0050269290140946684,0.7517089094378715
active_city_operators_z,dml_rf,ml_residualized,2,0,0,-0.01970764475780551,-0.01997887554651004,0.20096221703646633,-0.019436413969100983,0.21650517028080918
active_city_operators_z,ols_cluster,market_fe,4,3,0,-0.03402481537983938,-0.008487868984883927,0.538052152031936,-0.03426022688739766,0.002249315274775634
active_city_operators_z,ols_cluster,unit_fe,4,0,0,0.0014078355580468152,0.0016228394641749375,0.8592120342817438,0.0014243692186511892,0.8771312409940552
active_operators_z,dml_hgb,ml_residualized,2,0,0,0.013723421080370715,0.02241991314664676,0.20111553168870555,0.0050269290140946684,0.7517089094378715
active_operators_z,dml_rf,ml_residualized,2,0,0,-0.01970764475780555,-0.01997887554651009,0.20096221703646466,-0.01943641396910101,0.2165051702808083
active_operators_z,ols_cluster,market_fe,4,3,0,-0.03402481537983938,-0.008487868984883927,0.538052152031936,-0.03426022688739766,0.002249315274775634
active_operators_z,ols_cluster,unit_fe,4,0,0,0.0014078355580468152,0.0016228394641749375,0.8592120342817438,0.0014243692186511892,0.8771312409940552
city_competition_z,dml_hgb,ml_residualized,2,0,0,0.011308752315054599,0.02415243054423149,0.13023788103259376,-0.001534925914122292,0.9011234946989336
city_competition_z,dml_rf,ml_residualized,2,0,0,-0.0037752264002516808,-0.004016454472636076,0.7667021062544734,-0.0035339983278672854,0.8054108096665239
city_competition_z,ols_cluster,market_fe,4,1,0,-0.02746611257512384,-0.01700635177604799,0.4001360181224577,-0.026988481016199932,0.16449182676596052
city_competition_z,ols_cluster,unit_fe,4,0,0,0.02276328524552232,0.022897638290787337,0.08035822060214014,0.0226289322002573,0.08518030517509176
leave_one_out_competitor_trips_z,dml_hgb,ml_residualized,2,0,0,0.007925621689957075,0.011974806609841546,0.4958450650598395,0.0038764367700726042,0.802622701945906
leave_one_out_competitor_trips_z,dml_rf,ml_residualized,2,0,0,-0.008260218420220844,-0.009066455988434564,0.22444857677177077,-0.007453980852007124,0.31927537459302846
leave_one_out_competitor_trips_z,ols_cluster,market_fe,4,0,0,-0.009255929374793796,0.0017868345311356489,0.9222343719874655,-0.012507432077856293,0.4912427283110383
leave_one_out_competitor_trips_z,ols_cluster,unit_fe,4,0,0,0.0065917607918130824,0.006870641851051854,0.5087860476343191,0.006592437368394891,0.5196035970407678
market_fragmentation_z,dml_hgb,ml_residualized,2,0,0,0.004400261401807591,0.0030753769695325756,0.809550417818921,0.005725145834082606,0.7165150571032703
market_fragmentation_z,dml_rf,ml_residualized,2,0,0,-0.005647037896004677,-0.006147143046665522,0.7102339968569593,-0.005146932745343832,0.7946859585692266
market_fragmentation_z,ols_cluster,market_fe,4,1,1,-0.027649101903777947,0.041836241243255974,0.022101030102915316,-0.027759652949862473,0.08082930450396818
market_fragmentation_z,ols_cluster,unit_fe,4,0,0,0.004703779965935337,0.009612323046979133,0.5435587086255168,0.005057572307718788,0.7400964914256923
